Postal Code,Lat,Long,City,State Abbv,State,Population 2019,Density 2019,County,County Fips,imprecise,military,timezone,City&State
00601,18.18004,-66.75218,Adjuntas,PR,Puerto Rico,18570,111.4,Adjuntas,72001,FALSE,FALSE,America/Puerto_Rico,"Adjuntas, Puerto Rico"
00602,18.36073,-67.17517,Aguada,PR,Puerto Rico,41520,523.5,Aguada,72003,FALSE,FALSE,America/Puerto_Rico,"Aguada, Puerto Rico"
00603,18.45439,-67.12202,Aguadilla,PR,Puerto Rico,54689,667.9,Aguadilla,72005,FALSE,FALSE,America/Puerto_Rico,"Aguadilla, Puerto Rico"
00606,18.16724,-66.93828,Maricao,PR,Puerto Rico,6615,60.4,Maricao,72093,FALSE,FALSE,America/Puerto_Rico,"Maricao, Puerto Rico"
00610,18.29032,-67.12243,Anasco,PR,Puerto Rico,29016,312,Añasco,72011,FALSE,FALSE,America/Puerto_Rico,"Anasco, Puerto Rico"
00612,18.40699,-66.70803,Arecibo,PR,Puerto Rico,67010,382.8,Arecibo,72013,FALSE,FALSE,America/Puerto_Rico,"Arecibo, Puerto Rico"
00616,18.41753,-66.66814,Bajadero,PR,Puerto Rico,11017,368.9,Arecibo,72013,FALSE,FALSE,America/Puerto_Rico,"Bajadero, Puerto Rico"
00617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,24597,625,Barceloneta,72017,FALSE,FALSE,America/Puerto_Rico,"Barceloneta, Puerto Rico"
00622,17.99174,-67.15248,Boqueron,PR,Puerto Rico,7853,104.6,Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico,"Boqueron, Puerto Rico"
00623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,43061,437.8,Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico,"Cabo Rojo, Puerto Rico"
00624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,26241,234.7,Peñuelas,72111,FALSE,FALSE,America/Puerto_Rico,"Penuelas, Puerto Rico"
00627,18.419,-66.86033,Camuy,PR,Puerto Rico,35159,292.8,Camuy,72027,FALSE,FALSE,America/Puerto_Rico,"Camuy, Puerto Rico"
00631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1852,177.8,Lares,72081,FALSE,FALSE,America/Puerto_Rico,"Castaner, Puerto Rico"
00637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,25287,283.4,Sabana Grande,72121,FALSE,FALSE,America/Puerto_Rico,"Sabana Grande, Puerto Rico"
00638,18.28904,-66.5151,Ciales,PR,Puerto Rico,18941,110.7,Ciales,72039,FALSE,FALSE,America/Puerto_Rico,"Ciales, Puerto Rico"
00641,18.26408,-66.71376,Utuado,PR,Puerto Rico,31191,128.8,Utuado,72141,FALSE,FALSE,America/Puerto_Rico,"Utuado, Puerto Rico"
00646,18.43401,-66.2833,Dorado,PR,Puerto Rico,38199,711.6,Dorado,72051,FALSE,FALSE,America/Puerto_Rico,"Dorado, Puerto Rico"
00647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,6172,156.7,Guánica,72055,FALSE,FALSE,America/Puerto_Rico,"Ensenada, Puerto Rico"
00650,18.34321,-66.58601,Florida,PR,Puerto Rico,14998,189.7,Florida,72054,FALSE,FALSE,America/Puerto_Rico,"Florida, Puerto Rico"
